target,class_name,feature,mean_abs_shap,rank,importance_kind,note
is_paraphrase,False,text_avg_sentence_words,0.02144521677827313,1,shap,
is_paraphrase,False,text_avg_sentence_chars,0.02000993807048753,2,shap,
is_paraphrase,False,text_digit_density,0.018626847224808125,3,shap,
is_paraphrase,False,text_comma_density,0.014909930059315388,4,shap,
is_paraphrase,False,source_elapsed_seconds,0.014391279981429464,5,shap,
is_paraphrase,False,text_colon_density,0.011965513002377571,6,shap,
is_paraphrase,False,text_avg_word_length,0.011500212690575143,7,shap,
is_paraphrase,False,text_second_person_pronoun_density,0.011498367561251055,8,shap,
is_paraphrase,False,text_first_person_pronoun_density,0.010741148465803608,9,shap,
is_paraphrase,False,text_negation_word_density,0.010431204711206577,10,shap,
is_paraphrase,False,text_char_count,0.009542630484014812,11,shap,
is_paraphrase,False,text_newline_count,0.009521067651457295,12,shap,
is_paraphrase,False,source_response_length,0.00913022439735197,13,shap,
is_paraphrase,False,text_repeated_bigram_ratio,0.009120973168096316,14,shap,
is_paraphrase,False,text_punctuation_density,0.009017129153034596,15,shap,
is_paraphrase,False,text_list_marker_count,0.008807587369261592,16,shap,
is_paraphrase,False,text_hapax_ratio,0.008124399078098253,17,shap,
is_paraphrase,False,text_punctuation_count,0.0080291516524843,18,shap,
is_paraphrase,False,text_repeated_trigram_ratio,0.00784751033443696,19,shap,
is_paraphrase,False,text_max_word_frequency,0.00778454701519212,20,shap,
is_paraphrase,False,text_entropy,0.00756742967153709,21,shap,
is_paraphrase,False,text_repetition_rate,0.00751059374211078,22,shap,
is_paraphrase,False,text_avg_word_frequency,0.007361829377173058,23,shap,
is_paraphrase,False,text_sentence_count,0.007344469078159982,24,shap,
is_paraphrase,False,text_type_token_ratio,0.00728677142132299,25,shap,
is_paraphrase,False,text_unique_word_count,0.006884423024149557,26,shap,
is_paraphrase,False,text_word_count,0.006813908158113525,27,shap,
is_paraphrase,False,source_sum_logprob,0.0065689862187040685,28,shap,
is_paraphrase,False,text_uppercase_word_ratio,0.005843398986887328,29,shap,
is_paraphrase,False,source_generated_tokens,0.005612959560038787,30,shap,
is_paraphrase,False,text_paragraph_count,0.005513540985653399,31,shap,
is_paraphrase,False,text_first_person_pronoun_count,0.0052847257506613695,32,shap,
is_paraphrase,False,source_avg_logprob,0.005277359640787239,33,shap,
is_paraphrase,False,source_perplexity,0.005181240204186161,34,shap,
is_paraphrase,False,text_markdown_bold_count,0.005175134943666249,35,shap,
is_paraphrase,False,text_hedge_word_density,0.004502633942710129,36,shap,
is_paraphrase,False,text_negation_word_count,0.004422223429118344,37,shap,
is_paraphrase,False,text_question_mark_density,0.0034062477481875174,38,shap,
is_paraphrase,False,text_second_person_pronoun_count,0.003378520583571267,39,shap,
is_paraphrase,False,text_exclamation_mark_density,0.002970948835117705,40,shap,
is_paraphrase,False,text_hedge_word_count,0.0026139137775884266,41,shap,
is_paraphrase,False,text_semicolon_density,0.0021159338098351798,42,shap,
is_paraphrase,False,text_markdown_heading_count,0.0019102119868076484,43,shap,
is_paraphrase,False,text_code_fence_count,6.717614318637e-05,44,shap,
is_paraphrase,False,source_top_p,0.0,45,shap,
is_paraphrase,False,source_temperature,0.0,46,shap,
is_paraphrase,False,source_repetition_penalty,0.0,47,shap,
is_paraphrase,False,source_max_tokens,0.0,48,shap,
is_paraphrase,False,source_max_new_tokens,0.0,49,shap,
is_paraphrase,True,text_avg_sentence_words,0.021445216778272297,1,shap,
is_paraphrase,True,text_avg_sentence_chars,0.020009938070488256,2,shap,
is_paraphrase,True,text_digit_density,0.01862684722480887,3,shap,
is_paraphrase,True,text_comma_density,0.014909930059315568,4,shap,
is_paraphrase,True,source_elapsed_seconds,0.014391279981429252,5,shap,
is_paraphrase,True,text_colon_density,0.011965513002377585,6,shap,
is_paraphrase,True,text_avg_word_length,0.011500212690574012,7,shap,
is_paraphrase,True,text_second_person_pronoun_density,0.011498367561248227,8,shap,
is_paraphrase,True,text_first_person_pronoun_density,0.010741148465803667,9,shap,
is_paraphrase,True,text_negation_word_density,0.010431204711206562,10,shap,
is_paraphrase,True,text_char_count,0.009542630484014858,11,shap,
is_paraphrase,True,text_newline_count,0.009521067651455743,12,shap,
is_paraphrase,True,source_response_length,0.00913022439734985,13,shap,
is_paraphrase,True,text_repeated_bigram_ratio,0.00912097316809469,14,shap,
is_paraphrase,True,text_punctuation_density,0.009017129153032878,15,shap,
is_paraphrase,True,text_list_marker_count,0.008807587369255835,16,shap,
is_paraphrase,True,text_hapax_ratio,0.008124399078096825,17,shap,
is_paraphrase,True,text_punctuation_count,0.008029151652482731,18,shap,
is_paraphrase,True,text_repeated_trigram_ratio,0.007847510334436796,19,shap,
is_paraphrase,True,text_max_word_frequency,0.007784547015191817,20,shap,
is_paraphrase,True,text_entropy,0.007567429671535025,21,shap,
is_paraphrase,True,text_repetition_rate,0.007510593742110789,22,shap,
is_paraphrase,True,text_avg_word_frequency,0.007361829377170778,23,shap,
is_paraphrase,True,text_sentence_count,0.007344469078159533,24,shap,
is_paraphrase,True,text_type_token_ratio,0.007286771421322759,25,shap,
is_paraphrase,True,text_unique_word_count,0.006884423024149589,26,shap,
is_paraphrase,True,text_word_count,0.006813908158112655,27,shap,
is_paraphrase,True,source_sum_logprob,0.006568986218703182,28,shap,
is_paraphrase,True,text_uppercase_word_ratio,0.005843398986887283,29,shap,
is_paraphrase,True,source_generated_tokens,0.005612959560038779,30,shap,
is_paraphrase,True,text_paragraph_count,0.005513540985652997,31,shap,
is_paraphrase,True,text_first_person_pronoun_count,0.005284725750661379,32,shap,
is_paraphrase,True,source_avg_logprob,0.005277359640786962,33,shap,
is_paraphrase,True,source_perplexity,0.005181240204184231,34,shap,
is_paraphrase,True,text_markdown_bold_count,0.005175134943666428,35,shap,
is_paraphrase,True,text_hedge_word_density,0.004502633942708795,36,shap,
is_paraphrase,True,text_negation_word_count,0.004422223429118333,37,shap,
is_paraphrase,True,text_question_mark_density,0.0034062477481875105,38,shap,
is_paraphrase,True,text_second_person_pronoun_count,0.0033785205835708877,39,shap,
is_paraphrase,True,text_exclamation_mark_density,0.002970948835117698,40,shap,
is_paraphrase,True,text_hedge_word_count,0.0026139137775884227,41,shap,
