feature,model_key,model_zero_or_nan_ratio,other_zero_or_nan_ratio,difference,model_nan_ratio,other_nan_ratio,model_zero_ratio,other_zero_ratio,model_nonzero_nonnull_mean,other_nonzero_nonnull_mean,review_flag
text_question_mark_density,gemini-flash-latest,0.3569482288828338,0.9120370370370371,-0.5550888081542034,0.0,0.0,0.3569482288828338,0.9120370370370371,0.0009093205609285205,0.0015852457538244736,others_more_zero_or_nan
text_markdown_bold_count,gemini-flash-latest,0.0027247956403269754,0.6050925925925926,-0.6023677969522656,0.0,0.0,0.0027247956403269754,0.6050925925925926,16.916666666666668,10.166471277842907,others_more_zero_or_nan
source_avg_logprob,mistral-7b-hf,0.0,0.6688132474701012,-0.6688132474701012,0.0,0.6688132474701012,0.0,0.0,-0.12090715833333335,-0.24394449027777781,others_more_zero_or_nan
source_avg_logprob,phi-3-mini-hf,0.0,0.6688132474701012,-0.6688132474701012,0.0,0.6688132474701012,0.0,0.0,-0.24394449027777781,-0.12090715833333335,others_more_zero_or_nan
source_generated_tokens,mistral-7b-hf,0.0,0.6688132474701012,-0.6688132474701012,0.0,0.0,0.0,0.6688132474701012,481.2638888888889,1245.2041666666667,others_more_zero_or_nan
source_generated_tokens,phi-3-mini-hf,0.0,0.6688132474701012,-0.6688132474701012,0.0,0.0,0.0,0.6688132474701012,1245.2041666666667,481.2638888888889,others_more_zero_or_nan
source_perplexity,mistral-7b-hf,0.0,0.6688132474701012,-0.6688132474701012,0.0,0.6688132474701012,0.0,0.0,1.1289814638888889,1.2801891472222222,others_more_zero_or_nan
source_perplexity,phi-3-mini-hf,0.0,0.6688132474701012,-0.6688132474701012,0.0,0.6688132474701012,0.0,0.0,1.2801891472222222,1.1289814638888889,others_more_zero_or_nan
source_sum_logprob,mistral-7b-hf,0.0,0.6688132474701012,-0.6688132474701012,0.0,0.6688132474701012,0.0,0.0,-56.790103348611105,-326.65896266111116,others_more_zero_or_nan
source_sum_logprob,phi-3-mini-hf,0.0,0.6688132474701012,-0.6688132474701012,0.0,0.6688132474701012,0.0,0.0,-326.65896266111116,-56.790103348611105,others_more_zero_or_nan
text_markdown_heading_count,gemini-flash-latest,0.08038147138964577,0.9736111111111111,-0.8932296397214653,0.0,0.0,0.08038147138964577,0.9736111111111111,5.681481481481481,3.245614035087719,others_more_zero_or_nan
source_avg_logprob,gemini-flash-latest,1.0,0.3333333333333333,0.6666666666666667,1.0,0.3333333333333333,0.0,0.0,,-0.18242582430555554,model_more_zero_or_nan
source_generated_tokens,gemini-flash-latest,1.0,0.3333333333333333,0.6666666666666667,0.0,0.0,1.0,0.3333333333333333,,863.2340277777778,model_more_zero_or_nan
